user_id,event_name,event_date
2,editor_opened,27/09/2024
4,editor_opened,23/03/2024
4,first_publish,23/03/2024
4,first_subscriber,29/03/2024
5,editor_opened,17/01/2024
5,first_publish,19/01/2024
5,first_subscriber,23/01/2024
6,editor_opened,17/01/2024
6,first_publish,17/01/2024
6,first_subscriber,19/01/2024
7,editor_opened,08/01/2024
8,editor_opened,02/07/2024
8,first_publish,02/07/2024
8,first_subscriber,07/07/2024
9,editor_opened,23/03/2024
9,first_publish,26/03/2024
10,editor_opened,20/04/2024
10,first_publish,21/04/2024
11,editor_opened,02/01/2024
12,editor_opened,11/11/2024
12,first_publish,15/11/2024
13,editor_opened,09/06/2024
13,first_publish,10/06/2024
13,first_subscriber,13/06/2024
15,editor_opened,20/01/2024
15,first_publish,22/01/2024
15,first_subscriber,27/01/2024
17,editor_opened,02/02/2024
18,editor_opened,08/03/2024
18,first_publish,10/03/2024
20,editor_opened,02/02/2024
21,editor_opened,28/03/2024
21,first_publish,29/03/2024
21,first_subscriber,02/04/2024
22,editor_opened,15/01/2024
24,editor_opened,13/02/2024
24,first_publish,13/02/2024
24,first_subscriber,19/02/2024
25,editor_opened,24/02/2024
25,first_publish,24/02/2024
25,first_subscriber,28/02/2024
26,editor_opened,18/05/2024
28,editor_opened,06/03/2024
28,first_publish,07/03/2024
29,editor_opened,21/03/2024
29,first_publish,21/03/2024
29,first_subscriber,27/03/2024
30,editor_opened,06/01/2024
30,first_publish,09/01/2024
30,first_subscriber,15/01/2024
31,editor_opened,26/03/2024
31,first_publish,26/03/2024
32,editor_opened,17/01/2024
34,editor_opened,26/09/2024
34,first_publish,26/09/2024
34,first_subscriber,01/10/2024
35,editor_opened,01/11/2024
38,editor_opened,10/01/2024
41,editor_opened,14/01/2024
43,editor_opened,04/01/2024
44,editor_opened,05/08/2024
45,editor_opened,28/01/2024
45,first_publish,01/02/2024
45,first_subscriber,04/02/2024
46,editor_opened,08/04/2024
47,editor_opened,04/02/2024
47,first_publish,04/02/2024
47,first_subscriber,05/02/2024
48,editor_opened,07/03/2024
48,first_publish,08/03/2024
48,first_subscriber,08/03/2024
49,editor_opened,14/03/2024
50,editor_opened,19/01/2024
51,editor_opened,10/11/2024
51,first_publish,12/11/2024
51,first_subscriber,12/11/2024
55,editor_opened,22/03/2024
55,first_publish,25/03/2024
55,first_subscriber,29/03/2024
56,editor_opened,18/08/2024
56,first_publish,22/08/2024
56,first_subscriber,26/08/2024
57,editor_opened,11/01/2024
58,editor_opened,22/01/2024
58,first_publish,22/01/2024
58,first_subscriber,22/01/2024
59,editor_opened,05/01/2024
60,editor_opened,05/02/2024
60,first_publish,05/02/2024
62,editor_opened,30/01/2024
64,editor_opened,10/02/2024
65,editor_opened,30/01/2024
65,first_publish,02/02/2024
65,first_subscriber,07/02/2024
67,editor_opened,15/01/2024
69,editor_opened,08/01/2024
71,editor_opened,15/05/2024
72,editor_opened,21/01/2024
72,first_publish,23/01/2024
72,first_subscriber,28/01/2024
73,editor_opened,02/01/2024
73,first_publish,05/01/2024
73,first_subscriber,08/01/2024
76,editor_opened,28/04/2024
76,first_publish,30/04/2024
77,editor_opened,14/05/2024
78,editor_opened,09/01/2024
79,editor_opened,10/02/2024
80,editor_opened,14/01/2024
81,editor_opened,27/06/2024
82,editor_opened,28/03/2024
82,first_publish,31/03/2024
82,first_subscriber,04/04/2024
83,editor_opened,06/02/2024
84,editor_opened,08/01/2024
84,first_publish,11/01/2024
84,first_subscriber,16/01/2024
85,editor_opened,04/02/2024
85,first_publish,04/02/2024
85,first_subscriber,07/02/2024
86,editor_opened,07/02/2024
86,first_publish,08/02/2024
86,first_subscriber,08/02/2024
87,editor_opened,29/04/2024
87,first_publish,03/05/2024
87,first_subscriber,08/05/2024
88,editor_opened,01/04/2024
89,editor_opened,16/07/2024
90,editor_opened,27/02/2024
90,first_publish,02/03/2024
90,first_subscriber,06/03/2024
91,editor_opened,12/01/2024
93,editor_opened,09/05/2024
94,editor_opened,15/03/2024
